customer_id,email,signup_date,age,gender
C100,a@mail.com,2022/12/31,,F
C100,a@mail.com,2022/11/03,25,M
C100,unknown,17/02/2023,25,F
C_100,unknown,08/02/2023,30,M
C100,b@mail.com,2022/01/23,,M
C100,unknown,02/07/2023,30,M
C100,b@mail.com,2023/10/29,25,F
C100,unknown,15/06/2023,30,
C101,a@mail.com,2022-09-08,30,F
C101,unknown,08/10/2023,25,
C100,unknown,2022-11-23,,F
C101,a@mail.com,2023-05-01,,
C101,b@mail.com,2023/07/08,25,F
C_100,a@mail.com,07/07/2022,25,M
C101,a@mail.com,06/05/2023,,
C_100,a@mail.com,2022/09/15,30,M
C100,b@mail.com,2022-10-24,,M
C_100,a@mail.com,2022-06-05,30,F
C100,b@mail.com,2023/07/05,30,M
C_100,unknown,2022/03/05,30,F
C_100,unknown,2022/11/02,30,M
C_100,unknown,2022-09-15,25,
C101,unknown,10/06/2023,30,M
C_100,unknown,2022-02-17,30,
C_100,a@mail.com,03/10/2023,25,M
C_100,unknown,2023-08-31,25,
C_100,unknown,2022/05/13,25,F
C101,a@mail.com,2022/04/27,,M
C101,b@mail.com,29/07/2023,25,M
C101,a@mail.com,25/07/2023,25,
C100,a@mail.com,2023-11-19,25,
C100,a@mail.com,2022-04-15,,M
C_100,b@mail.com,2022-11-15,,
C100,a@mail.com,2023/11/02,30,F
C_100,unknown,2023-09-30,30,M
C100,a@mail.com,2023-09-10,,
C101,b@mail.com,2022-11-04,30,M
C100,a@mail.com,2023-03-18,30,
C101,a@mail.com,31/05/2022,,
C101,b@mail.com,2023-08-09,25,
C100,a@mail.com,2023-02-13,25,M
C101,b@mail.com,20/08/2022,25,F
C100,b@mail.com,2022-12-24,30,M
C100,b@mail.com,2022/03/17,25,
C_100,b@mail.com,2023-06-24,30,M
C_100,a@mail.com,2022/12/17,30,
C101,b@mail.com,15/04/2022,,
C101,b@mail.com,2022-12-16,25,
C101,a@mail.com,05/05/2023,30,F
C_100,unknown,2023/01/10,,
C100,b@mail.com,10/04/2022,25,F
C100,unknown,2022-12-30,,M
C_100,unknown,2022/03/31,25,M
C100,b@mail.com,2022-05-12,,
C101,unknown,01/02/2022,25,M
C101,unknown,2022-02-03,25,
C100,b@mail.com,2023-10-01,30,M
C_100,b@mail.com,2022/04/23,25,M
C_100,a@mail.com,29/05/2023,30,
C100,unknown,29/03/2023,30,M
C_100,unknown,2022-06-12,30,
C100,a@mail.com,2023/09/29,30,F
C100,unknown,2023-11-28,30,M
C_100,unknown,2022/06/01,30,F
C101,a@mail.com,2023-06-12,25,F
C_100,b@mail.com,2023/08/15,,
C100,b@mail.com,26/08/2022,25,
C100,a@mail.com,2022/04/12,,
C_100,unknown,2023/08/02,,F
C_100,a@mail.com,21/05/2022,25,M
C101,b@mail.com,2023-10-02,30,F
C101,unknown,25/04/2022,25,F
C_100,b@mail.com,19/05/2023,25,F
C101,a@mail.com,2022/03/10,30,F
C100,unknown,14/02/2023,,F
C101,unknown,2022-12-28,30,M
C_100,a@mail.com,16/05/2022,25,M
C101,unknown,2022-04-07,30,
C_100,a@mail.com,2023/06/03,30,F
C_100,b@mail.com,2023/10/03,30,M
C100,b@mail.com,05/06/2022,,F
C100,a@mail.com,2022-09-24,30,M
C101,b@mail.com,06/11/2022,30,M
C100,a@mail.com,2022/09/26,25,
C101,b@mail.com,2022/06/10,25,M
C100,a@mail.com,22/06/2022,25,M
C_100,a@mail.com,2023/08/01,25,
C101,unknown,2022/03/26,,M
C100,unknown,2022-10-05,,M
C101,b@mail.com,2023/03/10,25,
C100,b@mail.com,2022/07/13,25,
C100,unknown,14/03/2022,,M
C_100,a@mail.com,2023-07-19,25,F
C_100,unknown,04/03/2022,25,
C100,unknown,2023/10/20,30,M
C100,unknown,2023-03-12,25,M
C100,a@mail.com,2023/02/26,30,M
C_100,unknown,24/12/2022,25,M
C100,unknown,2023-10-22,,M
C_100,b@mail.com,27/06/2022,30,M
C101,a@mail.com,21/09/2023,30,M
C100,b@mail.com,2022-05-14,25,M
C101,a@mail.com,2022-11-16,30,F
C101,unknown,22/10/2022,,
C101,unknown,2023/01/10,,M
C101,unknown,17/03/2023,,M
C100,unknown,29/12/2022,,
C_100,a@mail.com,2022-03-19,30,
C100,b@mail.com,08/08/2022,30,F
C101,a@mail.com,2023-12-02,,M
C101,a@mail.com,2023/01/26,,
C_100,a@mail.com,20/07/2023,,F
C101,unknown,2023/02/24,30,
C100,a@mail.com,2022-04-16,,F
C101,a@mail.com,14/09/2023,30,F
C100,a@mail.com,2023/07/23,30,
C_100,a@mail.com,21/12/2022,25,M
C101,b@mail.com,24/04/2023,,M
C101,unknown,2022/03/18,,M
C_100,a@mail.com,2022-01-10,,M
C100,unknown,2023-10-31,30,M
C100,unknown,29/09/2023,25,M
C_100,a@mail.com,2023/01/19,30,F
C100,unknown,2022-10-22,25,M
C100,a@mail.com,2023-04-09,30,M
C_100,unknown,2023/10/30,25,
C_100,a@mail.com,20/06/2023,30,M
C100,a@mail.com,06/08/2022,30,
C100,unknown,2022-08-02,25,F
C100,b@mail.com,2023-09-12,25,F
C101,unknown,2022/08/14,,F
C_100,a@mail.com,2022-06-18,,F
C100,a@mail.com,2022/04/25,25,
C_100,unknown,07/08/2023,,
C101,unknown,2023/06/05,25,F
C100,b@mail.com,2023-06-26,30,M
C_100,unknown,2023/07/15,30,F
C101,a@mail.com,2022-11-23,,M
C101,a@mail.com,2022/12/15,25,M
C100,a@mail.com,21/05/2022,30,M
C101,b@mail.com,08/01/2022,25,F
C_100,a@mail.com,21/08/2022,30,
C101,a@mail.com,2022/01/21,,
C101,unknown,29/01/2022,,F
C_100,a@mail.com,2023-09-26,30,M
C101,unknown,2023-04-11,,M
C101,unknown,2023/10/18,25,M
C100,b@mail.com,2022-05-21,25,M
C100,b@mail.com,2022-10-09,30,M
C100,unknown,2022-12-06,30,F
C101,b@mail.com,31/07/2023,25,F
C101,unknown,2023/11/05,30,F
C_100,b@mail.com,03/06/2022,,M
C101,unknown,2022/08/19,30,
C101,a@mail.com,2022/04/12,,
C100,a@mail.com,26/08/2023,30,
C_100,a@mail.com,02/01/2023,30,M
C_100,unknown,2023-03-15,,
C_100,a@mail.com,2022-06-15,25,
C_100,unknown,2023-10-14,30,
C_100,unknown,2022/04/04,30,F
C100,b@mail.com,2022/02/02,,
C_100,b@mail.com,22/08/2023,,F
C101,unknown,2023-10-30,25,
C101,a@mail.com,2022-06-28,,F
C100,unknown,2023/10/06,30,
C_100,unknown,26/12/2022,25,F
C101,a@mail.com,17/09/2023,30,F
C_100,unknown,2022/10/08,25,F
C100,unknown,2022/08/26,30,
C_100,a@mail.com,18/10/2023,,
C101,a@mail.com,2023-06-22,25,F
C100,unknown,2022/10/25,,
C101,b@mail.com,2022/04/30,30,
C100,b@mail.com,2022/11/03,30,M
C100,unknown,26/11/2022,25,M
C100,b@mail.com,2022-09-28,30,M
C101,b@mail.com,2022-06-17,25,
C100,b@mail.com,2023-05-13,30,M
C_100,unknown,2023-01-31,,
C101,unknown,10/02/2022,25,F
C100,unknown,10/04/2023,30,F
C101,b@mail.com,2022-09-06,30,M
C100,unknown,04/11/2022,25,
C_100,unknown,15/12/2022,25,
C101,b@mail.com,2022/11/09,30,
C101,b@mail.com,2023/01/29,25,F
C101,unknown,2023/02/18,,M
C100,a@mail.com,2022/07/23,30,
C_100,unknown,2023-09-22,25,M
C100,a@mail.com,2023-09-19,30,M
C_100,b@mail.com,2022-09-30,25,
C101,b@mail.com,2022/07/04,25,F
C100,unknown,2023-03-05,,M
C101,b@mail.com,2022-02-15,30,F
C_100,b@mail.com,10/12/2022,30,M
C_100,b@mail.com,2022-12-08,,M
C100,b@mail.com,10/05/2022,,
C101,b@mail.com,27/09/2022,,M
C100,unknown,2023/04/25,30,
C_100,b@mail.com,20/01/2023,,
C100,a@mail.com,28/10/2022,30,M
C101,unknown,17/08/2023,25,
C101,unknown,2022/10/21,25,
C_100,unknown,2022-03-21,,F
C_100,b@mail.com,2022-12-18,,
C101,b@mail.com,2022/07/31,,M
C_100,unknown,29/07/2022,25,F
C101,a@mail.com,2023/10/02,30,
C_100,a@mail.com,2022-03-21,,
C_100,b@mail.com,2022/06/09,25,
C_100,a@mail.com,2022/08/30,30,M
C100,b@mail.com,2022-10-07,25,F
C100,a@mail.com,2023-07-13,25,F
C100,b@mail.com,12/09/2022,30,F
C101,unknown,2023/02/12,,M
C101,unknown,20/01/2022,30,F
C_100,unknown,2022-07-23,25,
C101,b@mail.com,2022-04-03,25,F
C_100,a@mail.com,2022-05-10,,F
C101,unknown,2023/09/09,30,F
C100,unknown,2023/04/08,25,
C_100,unknown,17/10/2023,30,
C_100,b@mail.com,2022/09/27,25,F
C101,unknown,2023/04/19,25,
C100,unknown,2022-03-21,25,M
C100,b@mail.com,08/03/2022,,M
C101,unknown,27/07/2022,30,M
C101,a@mail.com,24/08/2022,25,M
C_100,a@mail.com,26/07/2022,,M
C_100,b@mail.com,2022-05-04,,M
C101,b@mail.com,2023-07-07,,M
C101,a@mail.com,2023-11-05,,F
C_100,b@mail.com,2023-09-14,,F
C101,b@mail.com,11/03/2022,,M
C_100,unknown,2022/05/10,30,
C_100,a@mail.com,26/04/2023,30,M
C_100,a@mail.com,2022-11-02,25,
C101,a@mail.com,2022/12/13,30,M
C_100,b@mail.com,14/07/2022,25,M
C_100,b@mail.com,2023-09-04,30,M
C100,b@mail.com,2023-04-03,,F
C100,unknown,2022-11-29,25,
C_100,b@mail.com,2022/12/02,,M
C101,b@mail.com,2022/10/04,,M
C100,unknown,2023-02-16,,
C101,b@mail.com,21/08/2023,25,
C101,b@mail.com,2022/11/06,25,M
C100,unknown,2022/11/02,,F
C101,a@mail.com,27/06/2022,30,
C101,a@mail.com,2023-08-19,,F
C100,a@mail.com,25/02/2023,30,F
C100,b@mail.com,2022/12/05,25,
C100,unknown,2022/06/15,25,
C_100,a@mail.com,24/02/2022,30,M
C100,a@mail.com,29/11/2022,25,F
C100,b@mail.com,2022/12/01,25,
C101,unknown,19/01/2023,,M
C101,b@mail.com,2022/05/09,,F
C_100,b@mail.com,2023-08-02,25,M
C101,a@mail.com,2023-01-05,25,M
C100,a@mail.com,2022-06-11,30,F
C101,unknown,2022-08-16,,
C100,a@mail.com,2022-09-20,25,
C101,b@mail.com,2023/02/16,30,M
C101,b@mail.com,20/11/2023,,F
C100,b@mail.com,2023/07/13,30,
C101,a@mail.com,31/07/2022,,
C_100,a@mail.com,2023/10/17,25,M
C_100,unknown,23/11/2022,30,
C_100,unknown,30/04/2022,30,M
C100,a@mail.com,2022-01-06,,
C100,a@mail.com,04/04/2023,30,M
C_100,unknown,31/05/2022,25,M
C100,b@mail.com,2022/12/12,,M
C_100,a@mail.com,2023-04-05,,
C101,a@mail.com,2022/08/07,30,F
C100,unknown,2023-11-17,30,
C101,b@mail.com,2022/12/29,,
C100,a@mail.com,2023-04-09,30,
C_100,a@mail.com,2022-05-26,,
C101,unknown,2022/02/05,25,M
C101,b@mail.com,2023/08/14,30,F
C101,a@mail.com,14/06/2023,,M
C_100,a@mail.com,2023-11-06,30,M
C_100,b@mail.com,2022/04/25,,F
C101,unknown,2023-08-23,,M
C_100,b@mail.com,2023-03-10,25,M
C100,b@mail.com,2022-03-22,,
C100,b@mail.com,2023/09/11,,
C101,unknown,2022/05/29,,M
C101,a@mail.com,2023/02/10,30,M
C_100,unknown,2022/04/15,30,
C_100,b@mail.com,2022-09-03,30,
C100,b@mail.com,25/01/2023,30,M
C100,unknown,2022-01-27,25,
C100,a@mail.com,28/09/2023,,F
C100,b@mail.com,14/08/2023,25,
C_100,a@mail.com,13/05/2023,,
C101,unknown,2022-07-06,,
C_100,a@mail.com,22/11/2022,30,
C101,unknown,31/05/2023,25,M
C101,b@mail.com,2023/02/28,,F
C100,b@mail.com,2023-11-11,,
C100,unknown,2023-08-29,,
C_100,unknown,2022/03/01,30,M
C101,unknown,2022/08/16,30,F
C101,unknown,30/12/2022,,M
C_100,a@mail.com,2022/09/01,25,
C101,b@mail.com,2023-05-01,30,M
C_100,unknown,2022/01/22,30,M
C100,b@mail.com,2023-11-13,30,F
C100,unknown,2023/09/17,25,M
C101,unknown,2022-09-03,25,F
C_100,a@mail.com,16/09/2023,30,
C_100,unknown,14/04/2023,25,F
C101,b@mail.com,2022/06/24,25,
C100,a@mail.com,2022/09/24,30,M
C_100,unknown,2023/10/01,30,
C_100,unknown,2023/09/13,30,M
C100,b@mail.com,2023/03/17,25,M
C101,a@mail.com,2023/06/16,25,
C_100,unknown,2023/08/04,30,F
C101,a@mail.com,2023/05/05,,
C100,b@mail.com,2023/09/17,25,F
C101,unknown,2022/03/30,30,M
C_100,unknown,2023-01-30,30,F
C100,b@mail.com,2023-10-10,30,
C_100,unknown,10/06/2022,25,M
C101,b@mail.com,2023-09-05,,M
C101,b@mail.com,27/04/2023,25,M
C100,a@mail.com,12/07/2022,30,
C101,a@mail.com,2022/03/16,,F
C100,unknown,2023-01-03,30,F
C_100,a@mail.com,2023-10-26,25,F
C_100,b@mail.com,2023-04-17,25,
C101,unknown,2022-01-16,30,
C100,b@mail.com,2023-01-08,25,M
C_100,unknown,2023-06-01,25,F
C101,a@mail.com,2023/05/01,25,F
C101,unknown,2023-01-18,25,F
C100,a@mail.com,2023/11/18,,
C101,unknown,2023-02-07,25,F
C100,b@mail.com,2022/07/30,25,
C101,unknown,04/08/2022,30,
C100,b@mail.com,2022/06/14,,M
C101,unknown,2022/04/05,,F
C_100,unknown,2022/11/24,25,
C_100,b@mail.com,07/01/2022,,M
C100,unknown,2022-07-16,25,F
C100,a@mail.com,27/03/2022,,M
C101,b@mail.com,2023-10-26,30,F
C101,a@mail.com,2023-03-13,25,F
C101,unknown,2023-08-17,,
C100,unknown,2023-08-11,,F
C100,b@mail.com,2022-01-26,25,M
C100,unknown,2023/08/30,,
C100,a@mail.com,2022-12-12,30,
C100,a@mail.com,09/06/2022,,F
C100,unknown,2022/06/16,,F
C100,a@mail.com,26/11/2023,,F
C_100,unknown,2022-11-26,30,
C101,unknown,2022/09/10,,F
